FromZone,ToZone,ArHour,Type,Dir,Lane,RevWght
4608,5306,20,Empty,SB,GP,20.62429195
4627,4706,20,Empty,SB,GP,20.62429195
4597,5298,18,Empty,SB,GP,20.62429195
4644,5297,18,Empty,SB,GP,20.62429195
4608,4830,18,Empty,SB,GP,10.31214597
4653,5295,9,Loaded,SB,GP,8.402383517
513,5311,9,Loaded,SB,GP,23.32591548
4644,5306,9,Loaded,SB,GP,8.402383517
4641,5297,9,Loaded,SB,GP,8.402383517
4644,4830,9,Loaded,SB,GP,8.402383517
4595,5311,9,Loaded,SB,GP,8.402383517
4607,5297,9,Empty,SB,GP,8.402383517
4607,4737,9,Loaded,SB,GP,8.402383517
4595,5311,9,Loaded,SB,GP,8.402383517
4631,4876,10,Loaded,SB,GP,8.402383517
4644,5306,10,Loaded,SB,GP,23.32591548
1970,5068,10,Empty,SB,GP,8.402383517
4647,4977,10,Loaded,SB,GP,8.402383517
928,5306,10,Loaded,SB,GP,8.402383517
4641,4830,10,Loaded,SB,GP,23.32591548
4589,5297,10,Loaded,SB,GP,8.402383517
4643,5286,10,Loaded,SB,GP,23.32591548
4641,5074,10,Loaded,SB,GP,8.402383517
4590,5311,10,Empty,SB,GP,8.402383517
4653,4830,10,Loaded,SB,GP,8.402383517
4626,5183,11,Empty,SB,GP,8.402383517
4595,5311,11,Empty,SB,GP,8.402383517
4652,5297,11,Empty,SB,GP,8.402383517
4590,5308,11,Loaded,SB,GP,8.402383517
2524,5297,11,Loaded,SB,GP,8.402383517
4595,5311,11,Loaded,SB,GP,23.32591548
4653,5297,11,Loaded,SB,GP,23.32591548
4590,5311,11,Empty,SB,GP,23.32591548
4595,5311,11,Loaded,SB,GP,8.402383517
4472,4893,12,Loaded,SB,GP,8.402383517
4653,5297,12,Empty,SB,GP,8.402383517
4169,4912,22,Loaded,SB,GP,8.402383517
4590,5311,12,Loaded,SB,GP,8.402383517
4595,5311,12,Empty,SB,GP,8.402383517
4544,5311,12,Loaded,SB,GP,8.402383517
4633,5306,12,Empty,SB,GP,8.402383517
4633,5110,12,Empty,SB,GP,8.402383517
4644,5311,12,Loaded,SB,GP,8.402383517
4608,4732,12,Loaded,SB,GP,23.32591548
4647,5306,12,Loaded,SB,GP,8.402383517
4235,5297,12,Loaded,SB,GP,8.402383517
4644,5297,12,Loaded,SB,GP,8.402383517
4630,5297,12,Loaded,SB,GP,8.402383517
4185,5304,12,Loaded,SB,GP,8.402383517
4644,5286,12,Loaded,SB,GP,8.402383517
4608,5311,12,Loaded,SB,GP,8.402383517
4644,5306,13,Empty,SB,GP,8.402383517
4631,5306,13,Loaded,SB,GP,8.402383517
3522,5297,13,Empty,SB,GP,8.402383517
4590,5311,13,Loaded,SB,GP,8.402383517
4644,5306,13,Loaded,SB,GP,8.402383517
4653,5297,13,Loaded,SB,GP,8.402383517
3544,4878,13,Empty,SB,GP,8.402383517
4595,5311,13,Empty,SB,GP,8.402383517
4647,5306,13,Empty,SB,GP,8.402383517
4540,5263,13,Loaded,SB,GP,8.402383517
4608,5211,14,Empty,SB,GP,8.402383517
4607,5297,14,Empty,SB,GP,8.402383517
4627,5311,14,Empty,SB,GP,8.402383517
4644,5312,14,Loaded,SB,GP,8.402383517
4544,5297,14,Loaded,SB,GP,8.402383517
4630,5311,14,Loaded,SB,GP,8.402383517
4649,5223,14,Empty,SB,GP,8.402383517
4607,5286,14,Empty,SB,GP,8.402383517
877,5122,14,Empty,SB,GP,8.402383517
173,5311,14,Empty,SB,GP,8.402383517
4626,5311,14,Loaded,SB,GP,8.402383517
4590,4830,15,Empty,SB,GP,8.402383517
4644,5094,15,Loaded,SB,GP,8.402383517
4654,4878,15,Empty,SB,GP,8.402383517
4607,5180,15,Loaded,SB,GP,8.402383517
4450,5306,15,Loaded,SB,GP,8.402383517
4644,5199,15,Empty,SB,GP,8.402383517
4590,5311,15,Loaded,SB,GP,23.32591548
4595,5311,15,Loaded,SB,GP,8.402383517
4590,5297,15,Empty,SB,GP,8.402383517
4653,5110,15,Loaded,SB,GP,8.402383517
4643,4716,15,Empty,SB,GP,23.32591548
4630,5311,15,Empty,SB,GP,8.402383517
4472,4893,16,Empty,SB,GP,8.402383517
4544,5276,16,Empty,SB,GP,8.402383517
4653,5297,16,Empty,SB,GP,23.32591548
997,5311,16,Loaded,SB,GP,23.32591548
4595,5311,16,Loaded,SB,GP,8.402383517
2040,5312,16,Loaded,SB,GP,8.402383517
4631,5306,16,Loaded,SB,GP,23.32591548
4590,5311,16,Empty,SB,GP,8.402383517
4652,5286,16,Empty,SB,GP,8.402383517
4608,5311,16,Loaded,SB,GP,8.402383517
4608,5297,16,Loaded,SB,GP,8.402383517
4608,5306,16,Empty,SB,GP,8.402383517
4631,5306,17,Empty,SB,GP,8.402383517
1714,5308,17,Empty,SB,GP,23.32591548
4608,4830,17,Loaded,SB,GP,8.402383517
4544,5311,17,Empty,SB,GP,8.402383517
1427,5311,17,Loaded,SB,GP,8.402383517
4654,4941,17,Empty,SB,GP,8.402383517
4597,4881,17,Empty,SB,GP,8.402383517
4183,4878,17,Loaded,SB,GP,23.32591548
4629,4830,17,Empty,SB,GP,8.402383517
4540,5297,17,Loaded,SB,GP,8.402383517
4653,5306,17,Empty,SB,GP,8.402383517
4653,5311,17,Empty,SB,GP,8.402383517
4641,5297,18,Empty,SB,GP,8.402383517
